epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8273,1.66892,3.56967,1.41116,0.00333,1,0.1756,0.02326,1.02152,3.51812,0.98276,0.00032,0.00032,0.00032
2,151.663,1.5114,2.31204,1.25785,0.00333,1,0.00986,0.00605,1.04073,3.42249,0.9818,0.00061644,0.00061644,0.00061644
3,223.557,1.41545,1.85633,1.17604,0.00333,1,0.00689,0.00407,1.11139,3.39051,0.98767,0.000868,0.000868,0.000868
4,294.574,1.42379,1.81546,1.18781,0.93145,1,0.995,0.64958,1.30376,1.98352,0.95141,0.00107468,0.00107468,0.00107468
5,367.205,1.50894,1.81425,1.26038,1,0.99677,0.995,0.67483,1.14976,1.63194,0.92585,0.00123648,0.00123648,0.00123648
6,438.807,1.43129,2.19293,1.19676,0.99709,1,0.995,0.63947,1.24606,1.93351,0.96644,0.00134,0.00134,0.00134
7,505.097,1.4103,2.07405,1.16459,1,0.99361,0.995,0.67656,1.16476,1.38624,0.95402,0.001208,0.001208,0.001208
8,576.56,1.35146,1.90737,1.17409,0.98079,1,0.995,0.56773,1.31485,1.37891,0.9876,0.001076,0.001076,0.001076
9,644.223,1.38377,1.83679,1.14894,0.99247,1,0.995,0.65542,1.30395,1.34334,0.98692,0.000944,0.000944,0.000944
10,711.6,1.32941,1.71909,1.11823,0.98369,1,0.995,0.70638,1.18617,1.18516,0.94204,0.000812,0.000812,0.000812
11,792.804,1.33553,1.66178,1.1012,0.98382,1,0.995,0.71479,1.17302,1.19579,0.90917,0.00068,0.00068,0.00068
12,870.102,1.31722,1.62487,1.11889,0.98539,1,0.995,0.73783,1.15189,1.16612,0.89626,0.000548,0.000548,0.000548
13,952.891,1.28574,1.57404,1.14,0.98751,1,0.995,0.6641,1.15996,1.11488,0.92265,0.000416,0.000416,0.000416
14,1027.53,1.18042,1.53887,1.10466,0.9898,1,0.995,0.65924,1.09375,1.21364,0.92176,0.000284,0.000284,0.000284
15,1101.97,1.18013,1.49256,1.06518,0.98785,1,0.995,0.63619,1.08658,1.21805,0.92018,0.000152,0.000152,0.000152
